Sind,nLig,IndFIEP,Clas,DepFIEP
SICEPOT,10,0.9,Dupla,Baixo
SIGEP,6,0.83,Dupla,Baixo
SIITEP,6,0.5,Dupla,Médio
SIMADEIRA,12,1,Externo,Baixo
SIMOV,5,0.8,Dupla,Baixo
SIMPEP,6,0.5,Dupla,Médio
SINAEES,5,0.6,Dupla,Médio
SINCABIMA,5,0.8,Dupla,Baixo
SINDEMCAP,4,0.5,Dupla,Médio
SINDEMON,3,0.67,Dupla,Baixo
SINDIADUBOS,6,0.84,Dupla,Baixo
SINPACEL,2,1,Externo,Baixo
SINDIBEBIDAS,3,1,Externo,Baixo
SINDICAF,8,0.38,Dupla,Médio
SINDICAL,6,0.84,Dupla,Baixo
SINDICARNE,6,0.67,Dupla,Baixo
SINDIAVIPAR,1,1,Externo,Baixo
SINDILEITE,12,0.92,Dupla,Baixo
SINDITRIGO,1,1,Externo,Baixo
SINDILOUÇAS,10,0.6,Dupla,Médio
SINDICER,2,0.5,Dupla,Médio
SIMAGRAN,4,0.25,Dupla,Alto
SINDIREPA,7,0.15,Dupla,Alto
SINDITEXTIL,2,0.5,Dupla,Médio
SINDIVEST,7,0.43,Dupla,Médio
SINQFAR,2,0.5,Dupla,Médio
SINDICOSMÉTICOS,1,1,Externo,Baixo
SINDUSCON,3,0.67,Dupla,Baixo
SINELTEPAR,1,0,Interno,Alto
SINDIPINTURAS,0,0,Interno,Alto
SIPCEP,1,0,Interno,Alto
SINDICOURO,1,0,Interno,Alto
SINDIOLEOS,2,0.5,Interno,Alto
SINDBOR,1,0,Interno,Alto
SINDIMETAL,5,0.4,Dupla,Médio
SIAPAR,1,0,Interno,Alto
SINDIALFA,1,0,Interno,Alto
