Ator1,Ator2
FACIAP,CACB
G19,SINAEES
G19,SINDIMETAL
SINDIMETAL,ABIFA
SINDIMETAL,AECIC
FACIAP,CACIOPAR
CACIOPAR,ACIME
ACIME,FACIAP
SINDIAVIPAR,ABPA
SINDIAVIPAR,ABRA
SINDICARNE,ABRAFRIGO
SINDITRIGO,ABITRIGO
SICEPOT,CBIC
SINDUSCON,CBIC
APEOP,CBIC
ADEMI,CBIC
ACIC,FACIAP
SIGEP,ABIGRAF-PR
ABIGRAF-PR,ABIGRAF-BR
SIMOV,ABIMOVEL
SINCAM,FECOMERCIO-PR
SIMAGRAN,ABIROCHAS
SINDEMCAP,ABRACAL
SINDIADUBOS,ANDA
SINDICER,ABCERAM
SINDILOUCAS,ABCERAM
ACICLA,FACIAP
FECOMERCIO-PR,Sindiarmazens
FACIAP,ACIPG
ABIPLAST,SIMPEP
ABIQUIM,SINQFAR
ABIHPEC,SINDICOSMETICOS
SINDIMETAL-Oeste,G19
Sincopecas,FECOMERCIO-PR
SIITEP,FEBRATEL
SINDIREPA,G19
SINAEES,ACP
SINAEES,FACIAP
SINDILEITE,Conseleite
SINDILEITE,Ocepar
SINDIBEBIDAS,Vinopar
SINDIBEBIDAS,ABIR
SINDIBEBIDAS,ABOL
SINCABIMA,ACIME
SINDICARNE,ACIME
SINCABIMA,CACIOPAR
SINDICARNE,CACIOPAR
SINCABIMA,ASLORE
SINDIAVIPAR,UBABEF
SINDIVEST,ACP
SINDIVEST,FACIAP
SINDIVEST,CACB
SICEPOT,ANEOR
SICEPOT,IEP
SICEPOT,BRASINFRA
SICEPOT,APEOP
SINDUSCON,ADEMI
SINDICAF,SINDUSCON-Oeste
SINDICAF,SINDUSCON
SINDICAF,ACIC
SIGEP,ABIGRAF-BR
SIGEP,ABIEA
SIMADEIRA,FECOMERCIO-PR
SIMADEIRA,SINCAM
SIMADEIRA,ACP
SIMADEIRA,ABIMCI
SIMOV,ACSC
SIMOV,ABIMAD
SINPACEL,ABRE
SINPACEL,ABTCP
SINDICAL,ABRACAL
SINDICAL,APDC
SINDEMCAP,SINDICAL
SINDEMCAP,APDC
SINDIADUBOS,SIACESP
SINDIADUBOS,AMA
SINDILOUCAS,APCHD
SINDILOUCAS,FECOMERCIO-PR
SINDILOUCAS,SINAEES
SINDILOUCAS,SINDIMETAL
SINDILOUCAS,Sindiarmazens
SINDILOUCAS,ACICLA
SINDILOUCAS,Itaqui Associacao
SIMPEP,ABIEF
SIMPEP,ACIC
SIMPEP,SINDIMETAL-Oeste
SINDICOSMETICOS,ACP
SINQFAR,ACIPG
SINDIREPA,Sincopecas
SIITEP,ACP
SIITEP,ABEPREST
SINDEMON,ABTCP
SINDEMON,AECIC
SINCABIMA,ABICAB
SINDICAF,ABCIC
SINDITEXTIL,Imbitumalhas
SINDICARNE,Ibrafe
SINDILEITE,OCB
Ocepar,OCB
SINDILEITE,Sincoopar-Norte
SINDILEITE,Sincoopar-Oeste
Sincoopar-Norte,Ocepar
Sincoopar-Oeste,Ocepar
SINDILEITE,G100
SIMADEIRA,ANPM
SINDIOLEOS,ABRANGE
