"","Esc","Func","AsSet","FIEP","AssocBairro","ACom","SindCoop","SindCom","NvKSind","Agric","Extr","Transf","Constr","Comerc","Serv","EngCiv","Econ","Dir","Admin","Contab","Rural","Outros","EngQuimQuim","EngEletMec"
"AAT","PGrad","SP","n","y","n","n","n","n","A","n","n","y","n","n","n","n","n","n","y","n","n","n","n","n"
"ADJ","Grad","Adm+SP","y","n","n","n","n","n","B","n","n","n","n","y","y","n","n","n","n","n","n","n","n","y"
"AEF","Grad","SP","y","n","n","n","n","n","A","y","n","y","n","y","y","n","n","n","n","n","y","n","n","n"
"AJDP","PGrad","SP","n","n","n","n","n","y","A","y","n","n","n","n","n","n","y","n","y","n","n","n","n","n"
"ANA","PGrad","SP","n","y","n","y","n","n","C","n","n","y","n","y","y","n","n","y","y","n","n","n","n","n"
"AOS","Grad","SP","y","y","n","n","n","n","D","n","n","y","n","n","n","n","n","n","y","n","n","n","n","n"
"ASA","Grad","SP","y","y","n","n","n","n","D","n","n","y","n","n","n","n","n","n","n","n","n","y","n","n"
"ASN","Grad","SP","n","y","n","n","n","n","B","n","n","y","n","n","n","n","n","n","n","n","y","n","n","n"
"AST","PGrad","SP","y","n","n","n","n","n","A","n","n","y","n","y","y","n","n","n","y","n","y","n","n","n"
"AVD","Grad","SP","n","n","y","n","n","n","D","n","n","y","n","n","n","n","y","y","y","n","n","n","n","n"
"BHAG","Grad","SP","n","y","n","n","n","n","B","n","n","n","y","n","y","n","y","n","n","n","n","n","n","n"
"CG","PGrad","Adm+SP","n","y","n","n","n","n","C","n","y","n","y","y","y","n","n","n","y","n","n","n","n","y"
"DAG","PGrad","SP","y","y","n","n","n","n","B","n","n","y","n","y","y","n","y","n","y","n","n","n","n","n"
"DAGS","Grad","SP","y","n","n","n","n","n","A","y","n","y","y","y","y","n","y","n","n","n","n","n","n","n"
"DF","Grad","Adm+SP","y","n","n","n","n","n","B","y","n","n","y","y","y","n","n","n","y","n","n","n","n","n"
"DK","PGrad","Adm+SP","y","n","n","n","n","n","A","n","n","n","n","n","y","n","n","n","y","n","n","n","n","n"
"DM","Grad","SP","y","n","n","n","n","n","A","y","n","y","y","y","y","n","n","y","n","n","n","n","n","n"
"DW","SInf","SP","n","y","n","n","n","n","D","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n"
"EAAZ","PGrad","SP","n","y","n","y","n","n","B","n","n","y","n","y","y","n","y","y","n","n","n","n","n","n"
"EAM","SInf","SP","y","n","n","n","n","n","D","n","n","y","n","n","y","n","n","n","n","n","n","n","n","n"
"EATB","PGrad","SP","y","y","n","n","n","n","D","n","y","y","n","n","n","n","n","n","n","n","n","n","y","n"
"EB","SInf","SP","y","n","n","n","n","n","D","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n"
"ECJ","Grad","SP","y","n","n","n","n","n","B","n","y","n","y","y","y","y","n","n","n","n","n","n","n","n"
"EJV","PGrad","SP","n","y","n","y","n","n","B","n","n","y","y","n","y","y","n","n","y","n","n","n","n","n"
"EJZ","Grad","Adm+SP","n","n","n","y","n","n","B","y","n","y","n","y","y","n","n","n","n","n","y","n","n","n"
"EK","Grad","SP","n","y","n","n","n","y","D","n","n","n","n","y","y","n","n","n","n","y","n","n","n","n"
"ELJF","Grad","SP","n","n","n","n","n","n","B","n","n","y","y","y","n","y","n","n","n","n","n","n","n","n"
"ER","SInf","SP","n","n","y","y","n","n","D","n","n","y","n","n","y","n","n","n","n","n","n","n","n","n"
"FB","Grad","SP","y","n","n","n","n","n","B","n","n","n","n","y","y","n","n","y","n","n","n","n","n","n"
"FBJ","Grad","Adm+SP","y","y","n","n","n","n","A","n","n","y","y","y","y","n","n","n","n","n","n","n","y","n"
"FCBG","Grad","SP","n","y","n","n","n","n","B","n","n","n","y","n","n","y","n","n","n","n","n","n","n","n"
"FWS","PGrad","Adm+SP","y","n","n","n","n","n","A","n","n","y","n","n","y","n","n","n","y","n","n","n","y","n"
"GC","SInf","SP","y","n","n","n","n","n","B","n","n","y","n","n","y","n","n","n","n","n","n","n","n","n"
"GFP","Grad","SP","y","y","n","n","n","n","B","n","n","y","n","n","y","n","n","n","y","n","n","n","n","n"
"GZ","Grad","SP","y","n","n","n","n","n","B","y","n","y","n","y","y","n","n","n","y","n","n","n","n","n"
"HB","PGrad","SP","y","y","n","y","n","n","B","y","n","n","n","y","y","n","n","n","n","n","n","y","n","y"
"JAGG","Grad","SP","y","n","n","n","n","n","B","y","n","y","y","n","y","y","n","n","n","n","n","n","n","n"
"JAPR","Grad","SP","y","n","n","n","n","n","B","n","n","n","y","n","y","y","n","n","n","n","n","n","n","n"
"JC","Grad","SP","n","y","y","n","n","y","D","n","n","y","n","n","n","n","n","y","n","n","n","n","n","n"
"JCG","Grad","SP","y","y","n","n","n","n","A","n","n","y","n","n","y","n","n","n","n","n","n","n","y","n"
"JCOJ","Grad","SP","n","n","n","y","n","n","C","n","n","y","n","n","y","n","n","n","y","n","n","n","n","n"
"JCP","Grad","SP","y","n","n","n","n","n","B","n","n","n","y","n","n","y","n","n","n","n","n","n","n","n"
"JGGA","Grad","SP","y","y","n","n","n","n","D","n","n","y","n","y","y","n","n","n","n","n","n","n","n","y"
"JJA","Grad","SP","y","n","n","n","n","n","B","n","y","y","y","n","y","y","n","n","n","n","n","n","n","n"
"JJS","SInf","SP","n","y","n","n","n","n","B","n","n","y","y","y","y","n","n","n","n","n","n","n","n","n"
"LBF","PGrad","SP","n","y","n","n","n","n","C","n","n","y","y","y","y","n","n","n","y","n","n","y","n","n"
"LC","Grad","SP","n","n","n","n","n","y","A","y","n","y","n","n","n","n","n","n","y","n","n","n","n","n"
"LHB","SInf","SP","y","n","n","n","n","n","C","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n"
"MADM","Grad","SP","n","y","n","n","n","n","B","n","n","n","y","n","y","y","n","n","n","n","n","n","n","n"
"MAGS","Grad","SP","y","y","n","n","n","n","B","y","n","y","n","y","y","n","n","n","n","y","n","n","n","n"
"MDN","SInf","SP","y","n","n","n","n","n","D","n","n","y","n","n","y","n","n","n","n","n","n","n","n","n"
"MGS","Grad","MEI-NProp","n","n","n","y","n","n","A","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n"
"MIM","PGrad","SP","n","y","n","n","n","n","A","n","n","y","n","n","y","n","n","y","n","n","n","n","n","n"
"MMB","SInf","Adm+SP","y","n","n","n","n","n","B","y","y","y","n","y","y","n","n","n","n","n","n","n","n","n"
"MP","SInf","SP","y","n","n","n","n","n","B","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n"
"MPS","Grad","SP","y","y","n","n","n","n","D","n","n","y","n","y","y","n","n","n","n","n","n","n","n","y"
"MS","Grad","SP","n","y","n","n","n","n","D","n","n","y","n","n","n","n","n","n","n","n","n","n","y","n"
"NBRN","Grad","SP","y","n","n","n","n","n","B","n","n","n","y","n","n","y","n","n","n","n","n","n","n","n"
"NRH","SInf","SP","y","y","y","n","n","n","A","n","n","y","n","y","y","n","n","n","n","n","n","n","n","n"
"PAF","SInf","SP","n","n","n","n","n","n","A","n","n","y","n","y","y","n","n","n","n","n","n","n","n","n"
"PS","PGrad","MEI-NProp","y","y","n","n","n","n","B","n","n","n","n","n","y","n","y","n","n","n","n","n","n","n"
"Rba","PGrad","Adm+SP","y","y","n","n","n","n","A","n","n","y","n","y","y","n","y","n","y","n","n","n","n","n"
"Rbe","Grad","Adm+SP","y","n","n","n","y","n","B","n","n","n","n","n","y","n","n","n","n","n","y","n","n","n"
"Rbi","SInf","SP","n","y","n","n","n","n","D","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n"
"RLB","Grad","SP","n","y","n","n","n","n","C","n","n","n","y","n","y","n","n","n","n","n","n","n","n","y"
"RM","Grad","SP","n","n","n","y","n","y","A","y","n","y","n","y","y","n","n","n","y","n","n","n","n","n"
"RMS","PGrad","Adm+SP","y","n","n","n","n","n","B","n","n","n","n","n","y","n","n","y","n","n","n","n","n","n"
"RRMM","Grad","SP","n","y","n","n","n","n","C","n","n","n","n","n","y","n","y","n","n","n","n","y","n","n"
"RRN","Grad","SP","n","n","n","n","n","y","A","y","n","y","n","y","y","y","n","n","n","n","n","n","n","n"
"RZ","Grad","SP","n","n","n","y","n","n","A","n","n","y","n","y","y","n","n","n","y","n","n","n","n","n"
"SC","Grad","SP","n","y","n","n","n","n","D","n","n","n","n","y","n","n","n","n","y","n","n","n","n","n"
"SCZ","SInf","SP","n","n","n","n","n","y","A","n","n","y","y","y","y","n","n","n","n","n","n","n","n","n"
"SLAB","Grad","SP","n","n","y","n","n","n","B","n","n","y","y","n","n","n","n","n","n","y","n","n","n","n"
"SP","Grad","SP","y","n","n","n","n","n","B","n","n","n","y","n","y","y","n","n","n","n","n","n","n","n"
"VAM","SInf","MEI-NProp","y","n","n","n","n","n","D","n","n","y","n","n","y","n","n","n","n","n","n","n","n","n"
"VFB","SInf","SP","n","y","n","n","n","n","D","n","n","y","n","n","y","n","n","n","n","n","n","n","n","n"
"VMF","Grad","SP","n","y","n","y","n","n","B","n","n","n","y","y","y","n","n","n","y","n","n","n","n","n"
"VV","Grad","Adm+SP","n","n","n","n","y","n","B","y","n","y","n","y","y","n","n","n","n","y","n","n","n","n"
"WB","SInf","SP","n","y","n","n","n","n","D","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n"
"WT","Grad","SP","y","n","n","n","y","n","B","n","n","n","n","y","y","n","n","n","n","n","y","n","n","n"
"WWL","PGrad","SP","n","y","n","n","n","n","C","n","n","y","n","n","n","n","n","n","y","y","n","n","n","n"
